Name	Number of Occurrences		FemaleDirIsIn245
George Cukor	9		
George Dunning	1		
George Egbuonu	1		
George Fitzmaurice	2		
George Gallo	1		
George H	2		
George King	1		
George Loane Tucker	1		
George Lucas	4		
George Marshall	2		
George Meli	1		
George Miller	5		
George Nolfi	1		
George P	1		
George Pal	1		
George Roland	2		
George Roy Hill	5		
George Schaefer	1		
George Seaton	2		
George Sidney	2		
George Stevens	6		
George Waggner	1		
George Wilhelm Pabst	2		
Gerald Freedman	1		
Gerald Peary	1		
Gerald Thomas	1		
Geralyn Pezanoski	1		
Gerard Baldwin	1		
Gerard Kikoine	1		
Gerardo Vera	1		
Germinal Alvarez	1		
Gidi Dar	1		
Gilbert Cates	1		
Gilberto Tofano	1		
Giles Foster	3		
Gilles Delannoy	1		
Gillian Laub	1		
Gina Kim	1		
Gini Reticker	1		
Ginny Martin	1		
Giovanni Attili	1		
Giovanni Pastrone	2		
Giovanni Vaz Del Bello	2		
Giselle Portenier	1		
Giuseppe Tornatore	1		
Glen Pitre	1		
Glenn Dieterich	1		
Glenn Ficarra	1		
Glenn Holsten	1		
Glenn Jordan	3		
Glenn Silber	2		
Gloria Rolando	1		
Gloria Z	1		
Godfrey Reggio	3		
Goran Hugo Olsson	1		
Gordon Chan	1		
Gordon Douglas	1		
Gordon Parks	2		
Gore Verbinski	2		
Goro Miyazaki	1		
Gottfried Kolditz	1		
Govind Nihalani	1		
Grace Lee	4		
Graham Judd	2		
Graham Linehan	3		
Graham Townsley	1		
Grant Gee	1		
Grant Lahood	1		
Gray Warriner	1		
Greg Lanning	1		
Greg Mc	1		
Gregg Araki	2		
Gregory Doran	1		
Gregory Greene	1		
Gregory Nava	1		
Grigori Chukhrai	2		
Grimur Hakonarson	1		
Gry Winther	1		
Guillaume Hecht	5		
Gulzar	1		
Gur Bentvich	1		
Guru Dutt	1		
Gus Van Sant	8		
Gustaf Molander	2		
Gustavo Serena	1		
Guy Ferland	1		
Guy Green	1		
